PM 01:36:12    9.0877 g 
PM 01:36:13    9.0877 g 
PM 01:36:13    9.0877 g 
PM 01:36:14    9.0877 g 
PM 01:36:15    9.0877 g 
PM 01:36:15    9.0877 g 
PM 01:36:16    9.0877 g 
PM 01:36:17    9.0877 g 
PM 01:36:17    9.0876 g 
PM 01:36:18    9.0875 g 
PM 01:36:19    9.0875 g 
PM 01:36:19    9.0875 g 
PM 01:36:20    9.0874 g 
PM 01:36:20    9.0874 g 
PM 01:36:21    9.0874 g 
PM 01:36:22    9.0874 g 
PM 01:36:22    9.0874 g 
PM 01:36:23    9.0873 g 
PM 01:36:24    9.0873 g 
PM 01:36:24    9.0872 g 
PM 01:36:25    9.0872 g 
PM 01:36:26    9.0868 g 
PM 01:36:26    9.0868 g 
PM 01:36:27    9.0868 g 
PM 01:36:27    9.0868 g 
PM 01:36:28    9.0868 g 
PM 01:36:29    9.0868 g 
PM 01:36:29    9.0868 g 
PM 01:36:30    9.0868 g 
PM 01:36:31    9.0868 g 
PM 01:36:31    9.0868 g 
PM 01:36:32    9.0868 g 
PM 01:36:33    9.0868 g 
PM 01:36:33    9.0868 g 
PM 01:36:34    9.0868 g 
PM 01:36:35    9.0868 g 
PM 01:36:35    9.0868 g 
PM 01:36:36    9.0868 g 
PM 01:36:36    9.0868 g 
PM 01:36:37    9.0867 g 
PM 01:36:38    9.0867 g 
PM 01:36:38    9.0865 g 
PM 01:36:39    9.0865 g 
PM 01:36:40    9.0865 g 
PM 01:36:40    9.0864 g 
PM 01:36:41    9.0863 g 
PM 01:36:42    9.0862 g 
PM 01:36:42    9.0862 g 
PM 01:36:43    9.0862 g 
PM 01:36:43    9.0862 g 
PM 01:36:44    9.0861 g 
PM 01:36:45    9.0861 g 
PM 01:36:45    9.0861 g 
PM 01:36:46    9.0860 g 
PM 01:36:47    9.0860 g 
PM 01:36:47    9.0860 g 
PM 01:36:48    9.0860 g 
PM 01:36:49    9.0860 g 
PM 01:36:49    9.0860 g 
PM 01:36:50    9.0860 g 
PM 01:36:51    9.0860 g 
PM 01:36:51    9.0856 g 
PM 01:36:52    9.0856 g 
PM 01:36:52    9.0856 g 
PM 01:36:53    9.0856 g 
PM 01:36:54    9.0856 g 
PM 01:36:54    9.0856 g 
PM 01:36:55    9.0856 g 
PM 01:36:56    9.0856 g 
PM 01:36:56    9.0856 g 
PM 01:36:57    9.0856 g 
PM 01:36:58    9.0855 g 
PM 01:36:58    9.0855 g 
PM 01:36:59    9.0855 g 
PM 01:36:59    9.0855 g 
PM 01:37:00    9.0854 g 
PM 01:37:01    9.0854 g 
PM 01:37:01    9.0854 g 
PM 01:37:02    9.0854 g 
PM 01:37:03    9.0854 g 
PM 01:37:03    9.0853 g 
PM 01:37:04    9.0853 g 
PM 01:37:05    9.0853 g 
PM 01:37:05    9.0853 g 
PM 01:37:06    9.0853 g 
PM 01:37:07    9.0853 g 
PM 01:37:07    9.0853 g 
PM 01:37:08    9.0852 g 
PM 01:37:08    9.0852 g 
PM 01:37:09    9.0852 g 
PM 01:37:10    9.0852 g 
PM 01:37:10    9.0850 g 
PM 01:37:11    9.0850 g 
PM 01:37:12    9.0850 g 
PM 01:37:12    9.0850 g 
PM 01:37:13    9.0850 g 
PM 01:37:14    9.0850 g 
PM 01:37:14    9.0850 g 
PM 01:37:15    9.0850 g 
PM 01:37:15    9.0850 g 
PM 01:37:16    9.0850 g 
PM 01:37:17    9.0849 g 
PM 01:37:17    9.0848 g 
PM 01:37:18    9.0845 g 
PM 01:37:19    9.0845 g 
PM 01:37:19    9.0845 g 
PM 01:37:20    9.0845 g 
PM 01:37:21    9.0845 g 
PM 01:37:21    9.0845 g 
PM 01:37:22    9.0845 g 
PM 01:37:23    9.0845 g 
PM 01:37:23    9.0843 g 
PM 01:37:24    9.0843 g 
PM 01:37:24    9.0843 g 
PM 01:37:25    9.0842 g 
PM 01:37:26    9.0842 g 
PM 01:37:26    9.0842 g 
PM 01:37:27    9.0842 g 
PM 01:37:28    9.0842 g 
PM 01:37:28    9.0842 g 
PM 01:37:29    9.0842 g 
PM 01:37:30    9.0841 g 
PM 01:37:30    9.0841 g 
PM 01:37:31    9.0841 g 
PM 01:37:31    9.0841 g 
PM 01:37:32    9.0841 g 
PM 01:37:33    9.0841 g 
PM 01:37:33    9.0840 g 
PM 01:37:34    9.0840 g 
PM 01:37:35    9.0840 g 
PM 01:37:35    9.0840 g 
PM 01:37:36    9.0840 g 
PM 01:37:37    9.0840 g 
PM 01:37:37    9.0840 g 
PM 01:37:38    9.0840 g 
PM 01:37:39    9.0840 g 
PM 01:37:39    9.0840 g 
PM 01:37:40    9.0839 g 
PM 01:37:40    9.0839 g 
PM 01:37:41    9.0839 g 
PM 01:37:42    9.0838 g 
PM 01:37:42    9.0838 g 
PM 01:37:43    9.0837 g 
PM 01:37:44    9.0837 g 
PM 01:37:44    9.0837 g 
PM 01:37:45    9.0837 g 
PM 01:37:46    9.0837 g 
PM 01:37:46    9.0837 g 
PM 01:37:47    9.0837 g 
PM 01:37:47    9.0837 g 
PM 01:37:48    9.0837 g 
PM 01:37:49    9.0837 g 
PM 01:37:49    9.0837 g 
PM 01:37:50    9.0837 g 
PM 01:37:51    9.0837 g 
PM 01:37:51    9.0837 g 
PM 01:37:52    9.0837 g 
PM 01:37:53    9.0833 g 
PM 01:37:53    9.0832 g 
PM 01:37:54    9.0832 g 
PM 01:37:55    9.0832 g 
PM 01:37:55    9.0832 g 
PM 01:37:56    9.0832 g 
PM 01:37:56    9.0832 g 
PM 01:37:57    9.0832 g 
PM 01:37:58    9.0832 g 
PM 01:37:58    9.0832 g 
PM 01:37:59    9.0832 g 
PM 01:38:00    9.0832 g 
PM 01:38:00    9.0832 g 
PM 01:38:01    9.0832 g 
PM 01:38:02    9.0832 g 
PM 01:38:02    9.0830 g 
PM 01:38:03    9.0830 g 
PM 01:38:03    9.0830 g 
PM 01:38:04    9.0830 g 
